.text _start
_start __libc_start_main@plt
__libc_start_main@plt .plt
.plt _dl_find_dso_for_object
__libc_start_main __libc_csu_init
__libc_csu_init __x86.get_pc_thunk.bx
__libc_csu_init _init
_init __x86.get_pc_thunk.bx
__libc_csu_init frame_dummy
frame_dummy register_tm_clones
__libc_start_main main
main strrchr@plt
strrchr@plt .plt
.plt _dl_find_dso_for_object
main openlog@plt
openlog@plt .plt
.plt _dl_find_dso_for_object
main parse_args
parse_args strcmp@plt
strcmp@plt .plt
.plt _dl_find_dso_for_object
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args strcmp@plt
strcmp@plt __nss_hosts_lookup
parse_args read_config
read_config fopen@plt
fopen@plt .plt
.plt _dl_find_dso_for_object
read_config fgets@plt
fgets@plt .plt
.plt _dl_find_dso_for_object
read_config strchr@plt
strchr@plt .plt
.plt _dl_find_dso_for_object
read_config strspn@plt
strspn@plt .plt
.plt _dl_find_dso_for_object
read_config strcspn@plt
strcspn@plt .plt
.plt _dl_find_dso_for_object
read_config strchr@plt
strchr@plt envz_strip
read_config strcasecmp@plt
strcasecmp@plt .plt
.plt _dl_find_dso_for_object
read_config strcasecmp@plt
strcasecmp@plt __nss_hosts_lookup
read_config strcasecmp@plt
strcasecmp@plt __nss_hosts_lookup
read_config value_required
read_config e_strdup
e_strdup strdup@plt
strdup@plt .plt
.plt _dl_find_dso_for_object
read_config strspn@plt
strspn@plt __nss_hosts_lookup
read_config fgets@plt
fgets@plt fgets
read_config strchr@plt
strchr@plt envz_strip
read_config strspn@plt
strspn@plt __nss_hosts_lookup
read_config strcspn@plt
strcspn@plt __nss_hosts_lookup
read_config strchr@plt
strchr@plt envz_strip
read_config strcasecmp@plt
strcasecmp@plt __nss_hosts_lookup
read_config strcasecmp@plt
